10,Zoya D.,"Surrey, BC","Me and my husband went out yesterday night to try the special kaiseki set menu and it was absolutely incredible! Ive been to miku a few times and I've always loved their food and service, our waitress Kana was such a delight and made the experience even more enjoyable :) shout out to everyone working in the service industry during these trying times, we appreciate you",5/10/2021,5 star rating
11,Drea S.,"Vancouver, BC",Amazing place and an even more amazing dining experience. We made it in time for the lunch menu without expecting what they had in store. Wow. All I can say. Had a whole plate of food and didn't even speak the entire time!! Great job Miku! You've outdone yourself! Don't forget to check out the dessert! If the food was good so was the dessert! They really knew the way to a foodies heart!,11/1/2020,5 star rating
12,Christine U.,"Montreal, QC","After reading a lot about sushi aburi and its popularity in Vancouver we decided to come to seemingly the main spot. We got the dining outside (?) combo special which was $39 for a miso soup, beef cheek appetizer, shrimp appetizer and 10 pieces of sushi. Miso soup was standard which is fine, you really shouldn't do too much with it in my opinion. Beef cheek was super tender in a nice sauce with a single brussel sprout half. The shrimp was super super battered, a bit more than I'm used to but tasty. I liked getting to try an assortment of sushi. The standout was of course the salmon aburi, but I also quite enjoyed the mackerel and the scallop nigiri. The maki rolls were inventive. We sat on the deck with a view of Place Canada and the service was perfect. All around us people were asking to change their tables for whatever reason and they seemed very accommodating. All in all It was a great experience. The meal itself was a good deal, but their regular menu is quite expensive and we weren't completely full afterward. If price is no object for you then 100% eat here!",10/25/2020,4 star rating
13,Andrew M.,"Burnaby, BC","I would not recommend miku for a good place to eat. However, miku has a good ambience and good place to eat. Service was amazing too. If you want a mediocre sushi with constantly unchanged quality, you should come here. I would only come back to chill with friends, but not to eat and taste",3/18/2021,3 star rating
14,Joanna L.,"Vancouver, BC",One of my best gfs and I went to celebrate a monumental birthday as we are each a day apart. The service and food were excellent. It is truly a high-class establishment.We had sake to accompany the wonderful meal. My favourite was the aburi. It is a must if you come here. I enjoyed every dish and it was to my liking.I will probably be back to celebrate another special occasion. I highly recommend this place if you want high-end Japanese food.,5/8/2020,5 star rating
15,Aaron T.,"Kitsilano, Vancouver, BC","Having at first been deterred by the high price point of the menu, I recently paid Miku a visit over the summer for a celebratory dinner and I was blown away by the wonderful experience I had there.  You will definitely get your money's worth and leave feeling full and wanting to go again.Our goal for this dinner was to try out the Aburi Prime plate at $58 for 9 pcs of premium sushi.  It was an effortless process to make a booking online and confirm over the phone, and we were seated right away.  Our server, Christina, was one of the most polite waitresses ever and she took the time to explain the menu's best points to my guest and I.  She also made recommendations from the drinks menu, and I have been ordering that drink (Bergamot Sour) ever since.  The Sashimi Platter is a very fair price at $25 per person with a thick cut selection of salmon, tuna, maguro, hamachi (yellowtail), ebi (sweet prawn), tempura prawn heads, hotate (scallop) and green and red seaweed.  It was about 2 slices of each per person and was a meal in itself.  It comes with 2 kinds of soy sauce to enjoy with the sashimi and helps to accentuate the flavour.  The freshness of the sashimi was unparalleled and each fish's unique flavour and texture shone through, which is a rare thing in today's sushi restaurants.The Miku roll ($10) and Garden roll ($8) were also nice, with the Miku roll being the better of the two.  You can order these in half orders and that gives you 4 pieces instead of 8 for each roll.Our server went the extra mile to give us an Amuse Bouche of Bonito to celebrate my guest's birthday.For the Aburi Prime, there are 9 pieces of sushi paired with different sauces.  They range in flavor intensity and our server instructed us where to start and finish the experience.  There is an info sheet that comes with the plate, but some notable ingredients were A5 wagyu with truffle, Sablefish with yuzu, Spot Prawn with Miku sauce and Bluefin O-Toro to name a few.  Each piece is masterfully created to be an experience with all the ingredients working in harmony with each other.For dessert, (and you should definitely do dessert), we had the Citrus Jasmine Mousse ($14) and the Yuzu Mango Chiboust ($14.59).  Everything was very refreshing, delicate and creatively plated with different textures.  We also had two scoops of the sorbet.  The Green Tea Opera Cake is a favourite among locals and is also another standout if you know how long the entire process takes to make the dessert.Another experience I had here was just for drinks and I was delighted that they were able to accommodate my party of 7 on short notice.  Every cocktail ordered was amazingly flavourful and the perfect amount of alcohol.  I enjoy seeing how much thought gets put into the drinks menu at Miku to elevate the guest's experience, whether a regular or new customer.",4/3/2020,5 star rating
16,Rose C.,"Vancouver, BC","Got the Deluxe Zensai box and the Sazanka Platter for take out.  Both orders look so pretty and well prepared.  Totally impressed with the Zensai box.  This box has ebi fritters, katsu, beef shank and chicken nanban. Each component was beautifully prepared and absolutely yummy.  All the meats were tender and you can tell that they used quality meats.  Will definitely order from here again.",11/15/2020,4 star rating
17,Elisabeth P.,"North Bend, United States","When planning our adventures in Vancouver, Miku was on our must nom list. Between the mouthwatering pictures and killer reviews I was sure it would be the perfect spot to take that husband of mine who is happiest when he's in Japan. We were lucky enough to get a reservation on a weekend even though there was a pretty large conference going on at the convention center. The dining room is really stunning with brightly colored painted fish dancing over the open kitchen, contemporary lighting and a clean crisp color palate, and of course a gorgeous waterfront view.Despite the extensive wait when we arrived, our dinner reservation was kept on time and we were seated promptly. Our server was very helpful in pointing out the gluten free items (designated by gf symbol) on their menu including their miso soup which is a rare find. We continued to have excellent service the rest of the night despite him being very busy we never went a moment without our water glasses filled or without him checking to see if we needed anything. We decided to share the edamame which was salty and satisfying. The husband had a roll with crab and eel which he said was fresh and tasty. We shared another roll of salmon, tuna, and avocado that was nicely balanced and kept us coming back for more until we almost had a domestic over the final piece. I also had the sashimi platter which was the most beautifully presented sushi I've ever eaten. It is a pretty pricey place but the good thing is that there is a decent selection on the menu from 20 dollar dishes to 150 dollar gourmet tasting menus, there's bound to be something for everyone.",3/8/2020,4 star rating
18,Eric L.,"Los Angeles, United States","Okay, knowing Miku as an iconic restaurant of class that we only splurge on for someone's birthday like once every five years... - Salmon oshi sushi: just so excellent. I almost cried when I had my first bite. What a delectable smokiness in the light touch of creamy sauce. What a lovely slight sear on the salmon. Just so pretty~ we ordered 3 servings of this (though we did have a big party of people)- Ebi oshi sushi: not as good as salmon but still excellent- Miku roll: again just doesn't live up to the salmon oshi sushi- Soba - an amalgamation of harmonious flavours- Sashimi - honestly don't think this is super special- All of the desserts - OMG THEY ARE SO GOOD. Green tea opera is excellent as are the ice creams... Such delicate design but also TASTY (just the right amount of sweet). The restaurant was dark so this picture is not good and heavily filtered but please enjoy these delicacies with your eyes!",4/23/2020,4 star rating
19,Hansel W.,"Coquitlam, BC","A very pleasing dining experience! The decor is amazing and the view is quite spectacular. Very spacious inside with a strong team of friendly and helpful staff. Definitely more high class dining, but still good for a casual outing. Food and drinks are pricey, but the taste is well worth it. The Brussel sprouts were surprisingly my favourite dish, but the carpaccio and sushi rolls are stellar as well. Everything is clean and well maintained. Right beside Waterfront station, and there's nearby parking in the underground corporate parking areas and on the streets (street parking is generally cheaper). Highly recommended for that special night out!",3/20/2020,4 star rating
20,Joanna L.,"Vancouver, BC","This place is always always busy and bustling. Located on the water, the restaurant has great vibes and an urban interior. I visited Miku for my sister in laws big 4-0 in the private room. Apparently, Beyonce dined here and sneaked our the back door when media found out  anyhow, behind the big, glass, red doors is a private room for parties - from what I recall, there is a minimum spend you have to meet. I walked in and the server greeted me right away and asked me what I wanted to drink...of course I said wine. She brought me a nice crisp rose - and goodness, you know the server is great, when your wine glass is NEVER empty! We had a set menu of all their goodies: 1st course: seared scallop, Kushi oyster, tuna tartare and ebi Mayo - everything of course was amazing. Mouth bursting with Wonderful flavors - I just wish they gave me  two yam chips instead of one for the tartare2nd: ""surf & turf"" ooommmmgggg! Both the sable fish and beef melted in my mouth - sable fish cooked perfectly with a crispy skin and the beef, was so soft 3rd: oshi, nigiri and rolls - Oshi is always my fave but the rolls were yummy also4th: Matcha dessert - I'm not a huge sweet fan, but mmmmmmhmmmm... loves the bitterness of the matcha with the crispy chocolate wafer and the hazel nutty chocolate ganache in between!! Perfection. Overall, it was a fantastic experience, EXCEPT, that 2 friends, my older sister in law and I, all had the same stomach issues (if you know what I mean) - we think it might have been from the oysters. ‍ hence the 4/5 stars and not 5/5",3/11/2020,4 star rating
21,Regina X.,"Seattle, United States","We came here for the lunch shokai after we couldn't get dinner reservations, though thankfully the lunch menu is a shorter and lower priced version of Miku's dinner menu. My friend got the Aburi Chirashi tart, which is more filling than expected and bursting with flavor from it's artfully layered ensemble.Lunch shokai comes with two appetizers that, on the day we went, were the braised beef (so tender with a small scoop of mashed potatoes and a roasted brussel sprout) & the tempura shrimp. I love shrimp and was impressed by the large and juicy pieces in both the appetizer and the 10-piece set. I love that Miku's not the omakase style of one nigiri/bite at a time. You get the full set in one go, and can ask your server to explain each piece. The recommended order to eat is starting from the nigiri and ends with the aburi (flame seared sushi), creating a beautifully eclectic taste journey. Highlights: bluefin in the spoon & the three aburi (especially the one with jalapeño).Overall, Miku was a highlight for us visiting this side of town, and impressed with its great service and food. From the artistic menu to interior, you're also likely to have a good time enjoying the waterfront views on a good day!",2/23/2020,5 star rating
22,Maggie L.,"Burnaby, BC","Miku is definitely one of the first to do oshi sushi well in Vancouver. Miku offers traditional Japanese cuisine with a modern twist.We ordered the Miku waterfront platter featuring Vancouver's local fresh seafood. This seafood platter came with an assortment of sashimi and prawns, kushi oysters, and even a delicious scallop ceviche. A couple of the oysters weren't super fresh but majority were good.We ordered their oshi sushi as it is a must at miku. Of course it's perfect as always.The ebi fritters were delicious as well. Highly recommend this dish.",2/20/2020,4 star rating
23,Catherine X.,"Boston, United States","Honestly I'm not the biggest fan of Sushi in general but Miku blew me away with its service and high-quality tasting sushi. Salmon Oshi Sushi: this is definitely my favorite, and a must-get while you're here. (5/5)Saba Oshi Sushi: this one was slightly salty for my taste, but the extremely soft texture of the Mackerel with the rice made it a decent combination. (3.5/5)Miku Roll: a bit heavy on the sauce, nevertheless I'm in love with the Miku sauce in general and would recommend this for a first time staple. (4.5/5)Green Tea Opera: the waiter was actually very sweet and asked if the day was a special occasion from the very beginning of the meal. He kept in mind that it was a birthday and delivered the message on the dessert. The cake was amazing - it was the right amount of crunchiness in the wafer combined with the sponge cake. (5/5)We were pretty full coming in so we didn't order much, but I was amazed by Miku's service and would definitely love to come back in the future.",7/18/2020,5 star rating
24,Setu J.,"Philadelphia, United States",Miku was a sushi experience par none. We started with the calamari and it was served with a magical tosazu sauce. The squid was in a perfect tempura batter and fried for just the right amount of time. We got the waterfront platter. The fish is sourced from another planet. It was so darn fresh. Salmon was red. And I mean red. I was made aware that Vancouver has a top sushi game.  Nothing I was told prepared me for the Aburi Oshi Sushi. The sushi is lightly flamed with Japanese charcoal and topped with jalapeño. Go to Miku for a special occasion. Prepare yourself to be blown away.,2/8/2020,4 star rating
25,Tina K.,"Camarillo, United States","Delicious! High quality fish you won't find anywhere else. This is not the place to try if you don't want to spend too much money. You truly get what you pay for here. The servers will explain the menu & food prior to ordering. They know all the different fish in depth & are helpful in finding what you may like. It is worth the wait & price, I would definitely return as it was a great restaurant.",1/12/2020,5 star rating
26,James A.,"Oakland, United States","Best sushi I've ever had and to top it off,  the non sushi items were fantastic, which you dont always expect from sushi spots. We had the brussel sprouts and seaweed salad for appetizers. Both were great, the sprouts were particularly good. Then we split the seafood soba bowl and loved every single bite. After the soba we had sushi. The red wave roll, good but not great. The ebi Oshi was INCREDIBLE. Then the seared sushi (yellowtail, tuna, scallop, shitake and eggplant) was all just amazing. For dessert we did the matcha cake and my goodness it was damn near perfection. Great food and experience.",3/1/2020,5 star rating
27,John G.,"North Vancouver, BC","The sushi was very tasty and fresh, well packaged. It was not busy and they were on time.",5/5/2021,4 star rating
28,Fred T.,"Vancouver, BC",Awesome dinner especially with dine out vancouver menu.  Place was mostly full even during the pandemic.,2/7/2021,4 star rating
29,Vicky C.,"Santa Clara, United States","Made a reservation here when my friend and I were planning to visit Vancouver, and we were so glad we did! It became one of the highlights if our trip. The food was SO GOOD and delicate. The price is very worth it for its quality.Ebi Fritters - giant crispy prawns, they used a very thin layer of batter and fried the outside to golden brown. It was so crispy and the shrimp was so plump and fresh. Miku Rolls - salmon, snow crab, and cucumber rolls. You can taste the freshness of the salmon and snow crab all in one bite. Salmon Oshi Sushi - signature dish. This was perfect. Thin cuts of salmon were layered between rice. The top was seared with a special sauce. The sushi melts in your mouth! Saba Oshi Sushi - cured mackerel with miso sauce. We were warned to not get this if we didn't like the smell of mackerel. The flavor was really strong but we liked it nonetheless!The service was flawless and our server was very meticulous with the order of the food that came and checked in with us multiple times to see if we were enjoying the night. I recommend making a reservation in advance. Miku is a must-try in Vancouver!!",1/10/2020,5 star rating
30,Teresa C.,"Sunset, Vancouver, BC",First time trying and this sushi platter for 5 is very affordable compared to dining at the restaurant and the taste/look is still top-notch.,7/14/2020,5 star rating
31,Carol T.,"Vancouver, BC",We went to Miku for lunch on a Monday afternoon at 12:45 and there was a 30min wait.  You can put your name on a wait list though and they will text you.  We shared the salmon oshi sushi ($18) and the premium select lunch set ($30).  The Salmon Oshi sushi is a given.  The flavours are so amazing.  I like eating each piece in one bite. The premium select set is great because you ge to try a piece of almost everything.  I especially liked the ebi Oshi.  It had a balanced meaty and citrus taste.  Miku roll is quite possibly the best roll I've had.  It has the same Miku sauce as the salmon Oshi and tobiko is an explosion of yumminess in your mouth!! The spoon of toro nigiri with the garnish on top was quite memorable as well.  What a treat!,12/23/2019,5 star rating
32,Sydney C.,"San Francisco, United States","This was my favorite meal during our trip. We made reservations prior and were glad we did because it was pretty busy on a Tuesday night around 6pm. Service was great and food was delicious!We shared their miku signature selection, red wave roll, and salmon oshi sushi. The miku signature selection was a chef's selection of traditional and aburi oshi, specialty rolls, and nigiri. I loved EVERYTHING, but what really stood out to me was the red wave roll & the salmon oshi sushi. The red wave roll consisted of prawn, avocado, wrapped in red tuna, with masatake sauce and the salmon oshi sushi had pressed bc wild sockeye salmon, jalapno, and miku sauce. The aburi oshi sushi is flamed seared with Japanese charcoal. They recommend eating everything without soy sauce so you can enjoy all the flavors, but of course, if you need soy sauce, they have some available for you.Would highly recommend with a request to sit by the windows to get a beautiful view of the waterfront.",11/27/2019,5 star rating
33,Jess S.,"Vancouver, BC","I can't imagine giving this well know sushi artistry anything less than 5 stars. Yes, it's expensive, yes it's quite fancy (and a beautiful decor), and YES, the food is freaking amazing!Sad but we can in their happy hour time so we didn't have the full luxury of their dinner menu. But what we got was so delicious, that we didn't care about having more options.I got the Kale Goma-ae (sweet sesame soy). I think I preferred the kale to the typical spinach. It was chewier and had more texture. I loved the sauce and it was a perfect amount. I also got the Garden Roll (avo, red bell pepper, cucumber, shiso, wrapped in pickled watermelon radish). Holy lord, this was absolutely beautiful. The presentation is incredible. And the flavors are out of this world. No need for soya sauce here.And that came to $50 (we had a glass of wine as well). So yea, it's a treat and a definite repeat!",5/14/2020,5 star rating
34,Loewe C.,"Burnaby, BC","Came here for Valentine's Day last year and tried their special $98 kaiseki menu. The total was 5 courses. The amuse bouche starter was very confusing, but my boyfriend and I loved every course after that.We loved the raw sweet prawn (they fry the heads after too!) and the aburi platter (so amazing). The main entree was a king salmon - soft and melt in your mouth.Very romantic dining area because they put is in the secondary private room. We are so glad we came for Valentine's Day! We could only make reservations for 5:45pm (the other available times were 9pm) and their special Valentine's Day menu is only served after 5pm on Valentine's Day itself. More on my blog: sincerelyloewe.com/miku-…",1/10/2020,5 star rating
35,Regina K.,"Glendale, Los Angeles, United States","Dined at so many amazing restaurants during my weekend getaway in Vancouver, but Miku was definitely my personal favorite! Though, I might be slightly biased since sushi is my favorite food ¯\_(ツ)_/¯.Aburi Prime: 5/5It costs $58 (CAD) and comes with 9 nigiri pieces. One plate certainly wouldn't make you full; however, I think it's still worth trying because the sushi is top-notch. If you had to splurge on fancy sushi at least once in your life, Miku is the place to do so! The aburi prime is a preset menu and it is recommended to eat the sushi in the order of top to bottom/left to right (this is so that you go from the lighter flavors to the strongest).Ranked in order of what I liked the most: -BC Sockeye Salmon: the jalapeño saikyo miso aioli was amazing and is still unforgettable in my memories-Nagasaki O-toro: the toro wasn't too fatty, but it was still very soft and delicious! Again, the sauce was on point :3-BC Botan Ebi: the prawn comes in a slimy, creamy texture that makes it melt in your mouth-Fukuoka Miyabi-Dai (snapper): has a sweet and subtle floral taste-Kumamoto Kanpachi (amberjack): soft texture & light floral flavor-Akami Hon-Maguro (seared brome lake foie gras): not the typical foie gras flavor & soft texture-Koji Cured Gindara (sablefish): has a strong flavor due to the yuzu zest/fresh citrus-Hokkaido Hotate: typical scallop - good, but not that memorable-A5 Miyazaki Wagyu: soft texture & has that melt-in-your-mouth quality, but it wasn't the same like the others; it was meat after all. Takeaway: you know the sushi is legit when it melts in your mouth and Miku's Aburi Prime does just that. On top of that, each piece is beautifully decorated, making your plate aesthetic AF.Ebi Fritters: 5/5It costs $17 (CAD) for 5 pieces, but we got an extra piece ($3.50) to split evenly between 2 people. For an appetizer, I wasn't expecting much out of these fried shrimp. However, I was really impressed with how good they turned out. Each piece was pretty big and they were lightly fried with some kind of mayo sauce on top. It also comes with a small salad on the side. Although we ordered this towards the end of our meal (since our stomachs weren't completely full), this dish would be a great starter - highly recommend!!Salmon Oshi Sushi: 4/5$18 (CAD) for 6 pieces. Miku has a unique way of searing their sushi and I think it's worth trying for yourself. It was my first time trying ""aburi"" (flame seared) sushi and I have to say it was a great experience. As you can see from the pictures, the seared salmon is on top and there's also a sushi in the middle of the rice. The pairing is perfect and will most likely cause a foodgasm in your mouth.Green Tea Opera Dessert: 3.5-4/5$14.50 (CAD). Since I came here for my bday dinner, I couldn't leave without a dessert. Our waitress recommend the green tea opera as it was a popular choice among customers. The matcha ice cream was delicious, but I wasn't a huge fan of the dark chocolate cake. It was an overall good dessert, but nothing extraordinary.",11/8/2019,5 star rating
36,Ngoc H.,"Austin, United States","Every single piece was perfection. I wish they'd have complementary miso soup especially when ordering sets like the Aburi Prime so I'm giving it 4 star for the service and sushi.O-toro handrolls are normally my go-to and even though they didn't serve handrolls, our waitress was willing to go ask the chef to make it for us. They ran out of o-toro the day we came but the chu-toro was just as fantastic! We also ordered the ""Miku Caramel Tarte Tatin"" dessert. It was disappointing because I expected to be more of a chocolatey dessert but it was more of a deconstructed Apple pie; this was completely my fault since I didn't read the menu carefully. It wasn't a bad tasting dessert but definitely something I'd order if I were to go again.",1/4/2020,4 star rating
37,Selina C.,"Richmond, BC","Hopping on the miku train! We had to get their sushi platter for 5 ($60) it was too good of a deal to not! Honestly it says for 5 people but realistically it's for 2-3! However this along with 2 of the classic Japanese shoyu ($13) its the perfect meal for 4!*Sushi platter has their signature items which I love getting there! Their salmon Oshi is super delicious, love the taste, and the texture was super creamy!*Their ebi oshi is the best because it has a lemon vest to it, and it kind of tasted like a lemon zest sushi which I loved*Their Saba oshi was ok la, it's not my ideal fan favourite but overall still super soft, and tender!*Spicy shrimp and spicy tuna roll, is a classic. It has a slight kick to it, which is good. However, it's not my ideal as it was harder than I would've assumed.*The ramen was a good deal, the soup was super rich, and the noodles were soft. It's recommended to heat up the soup prior and trust us it's the good idea! It wasn't the best ramen we've had but it was not bad for $13!* 5.5/10 - honestly takeout was not that good. The sushi rice was hard and the quality just wasn't exactly there. The only one that was good was the salmon oshi, but overall you can tell the rice was in the fridge prior and it was a quick Prep. Not miku quality. But they are super busy.* 6/10 - it is pricy sushi however it's miku so if you'd compare eating it at the store and at home it's way cheaper than expected! Usually it would be $150+ for 2 people, however with the 4 of us it was only around $100!",5/18/2020,2 star rating
38,Michael C.,"Oakland, United States","Miku was one of the best sushi experiences of my life, and I cannot recommend it enough.And this was after having one of the best sushi experiences of my life at Shiro's in Seattle, which I likewise cannot recommend enough.Miku is just such a unique experience, I have never had something like it, and I constantly think about it because it was that unique and delightful. The place is HUGE, immaculate, and has one of the largest staffs I've ever seen. Every member was polite, helpful, friendly, and clearly hard working. I was blown away by the treatment here. Make sure you get a reservation! And there are two bars - the sushi and the drink bar. While I enjoyed sitting at the sushi bar, it is a very different experience from other sushi bars - more flames.So that takes us to one of the other reasons this place is so unique: they focus on a style of sushi called Aburi. Basically they take the fish, pair it with a sauce and garnish, sometimes flame sear it, so that you have the perfect bite. They aren't kidding.I ordered the Aburi Prime, which comes with 9 pieces of beautiful nigiri. As the waitress was pointing out every piece, mentally I was going ""Ooh, I love kanpachi. That will be my favorite. Oh wait, Otoro! That will be my favorite.""What happened was I took that first piece, monkfish, ate it, and said ""Wow, that might be the best piece of sushi I've eaten in my life.""The second piece was bluefin, and after eating it said ""No, that might be the best piece of sushi I've eaten in my life!""It went on like that for all 9 pieces, which were: Monkfish, Bluefin, Kanpachi, Sockeye Salmon, Ebi, Otoro, Hotate, Cured sablefish, A5 Wagyu.Honestly, it was a flavor ride that I thoroughly enjoyed and miss as I write this. But let's be real, after eating 27 pieces at Shiro's, 9 pieces, as mind blowing as they were, weren't going to cut it. So after looking at the menu, I decided to go with the Miku Signature Selection, which is a mix of everything else special they do: a piece each of their Aburi Oshi Sushi (Salmon, Ebi, Saba); a piece each of their Specialty Sushi (Miku Roll, Red Wave Roll, Garden Roll), and 4 pieces of select nigiri. It was all really good, but after having Aburi Prime, it ruined everything else.So if going and a big eater, I highly recommend just ordering TWO Aburi Prime for yourself and then you can really enjoy two pieces each of that feast.And with consuming a large portion of fish and rice, I still had to get a dessert, and they all sound amazing here, especially the Green Tea Opera, which came recommended by my waitress. However it seemed a lot, so I went with what I was hoping was a simple coconut lychee sorbet.They don't do simple here. I got a small dessert platter full of fruit, small pastries, and the sorbet. It was another flavor ride from the biscuits to chocolate to fruit with the sorbet. Miku Vancouver is worth the hype - it is an overall amazing experience that any sushi fan should experience at least once. I can't wait to go back.",10/29/2019,5 star rating
39,Jack T.,"Sunnyvale, United States",My wife and I came for our anniversary.We ordered the special sushi plate and it was very good. The way they bring it to you is all the bites at once (9 total) which I think is more efficient than 1 by 1 or whatever. Appetizer of fried shrimp was good as well. Drink selection was very good as well.+ Service was good+ Atmosphere was good+ Food was goodDefinitely worth a try if you are in Vancouver,10/29/2019,5 star rating
